Output,Input,Pearson_r,p_value,Spearman_r
YS,C,0.023,0.5109,0.037
YS,Mn,0.074,0.0326,0.03
YS,CE,0.05,0.1474,0.049
YS,RPM,-0.099,0.0041,-0.083
YS,LinSpeed,-0.049,0.1551,-0.048
YS,T_11std,-0.077,0.0262,-0.08
YS,WaterFlow,-0.032,0.3578,-0.084
YS,WaterPress,-0.071,0.039,-0.108
YS,T_7pipe,0.074,0.0334,0.043
YS,EqualTemp,-0.114,0.0009,-0.097
UTS,C,0.129,0.0002,0.138
UTS,Mn,0.089,0.0103,0.011
UTS,CE,0.142,0.0,0.128
UTS,RPM,-0.127,0.0002,-0.115
UTS,LinSpeed,-0.069,0.0453,-0.075
UTS,T_11std,-0.097,0.0051,-0.108
UTS,WaterFlow,-0.011,0.7547,-0.074
UTS,WaterPress,-0.045,0.1901,-0.082
UTS,T_7pipe,0.098,0.0046,0.057
UTS,EqualTemp,-0.133,0.0001,-0.129
Elong,C,0.198,0.0,0.182
Elong,Mn,0.018,0.6001,0.015
Elong,CE,0.166,0.0,0.166
Elong,RPM,0.065,0.0602,0.063
Elong,LinSpeed,0.067,0.051,0.058
Elong,T_11std,0.06,0.0807,0.064
Elong,WaterFlow,-0.001,0.9694,0.004
Elong,WaterPress,0.05,0.1478,0.063
Elong,T_7pipe,0.042,0.2248,0.032
Elong,EqualTemp,-0.004,0.9152,-0.009
Ratio,C,0.197,0.0,0.155
Ratio,Mn,-0.012,0.7365,-0.041
Ratio,CE,0.154,0.0,0.11
Ratio,RPM,-0.004,0.9128,0.012
Ratio,LinSpeed,-0.011,0.7496,-0.034
Ratio,T_11std,0.0,0.9931,0.018
Ratio,WaterFlow,0.055,0.1137,0.068
Ratio,WaterPress,0.092,0.0075,0.115
Ratio,T_7pipe,0.008,0.8242,-0.006
Ratio,EqualTemp,0.019,0.5754,0.02
